Comunidad autónoma de residencia;Tipo de hogar (reducida);Gastos medios, distribución e índice;Periodo;Total
06 Cantabria;Otros hogares;Gasto medio por hogar;2018;35.034,93
06 Cantabria;Otros hogares;Gasto medio por hogar;2017;33.881,09
06 Cantabria;Otros hogares;Gasto medio por hogar;2016;31.236,82
07 Castilla y León;Total;Gasto medio por hogar;2024;31.433,43
07 Castilla y León;Total;Gasto medio por hogar;2023;28.028,22
07 Castilla y León;Total;Gasto medio por hogar;2022;29.536,35
07 Castilla y León;Total;Gasto medio por hogar;2021;26.555,11
07 Castilla y León;Total;Gasto medio por hogar;2020;25.150,35
07 Castilla y León;Total;Gasto medio por hogar;2019;27.233,61
07 Castilla y León;Total;Gasto medio por hogar;2018;26.919,14
07 Castilla y León;Total;Gasto medio por hogar;2017;26.813,96
07 Castilla y León;Total;Gasto medio por hogar;2016;26.078,83
07 Castilla y León;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;25.464,61
07 Castilla y León;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;22.384,49
07 Castilla y León;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;23.247,73
07 Castilla y León;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;20.445,49
07 Castilla y León;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;19.903,01
07 Castilla y León;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;21.648,92
07 Castilla y León;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;19.562,93
07 Castilla y León;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;19.583,04
07 Castilla y León;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;19.870,99
07 Castilla y León;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;25.053,99
07 Castilla y León;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;24.187,91
07 Castilla y León;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;25.073,03
07 Castilla y León;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;22.043,00
07 Castilla y León;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;21.977,04
07 Castilla y León;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;22.688,26
07 Castilla y León;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;24.986,28
07 Castilla y León;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;22.869,11
07 Castilla y León;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;21.416,60
07 Castilla y León;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;37.159,78
07 Castilla y León;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;34.667,35
07 Castilla y León;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;34.117,50
07 Castilla y León;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;34.502,47
07 Castilla y León;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;29.855,92
07 Castilla y León;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;32.478,05
07 Castilla y León;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;30.567,68
07 Castilla y León;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;33.032,76
07 Castilla y León;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;31.879,49
07 Castilla y León;Otros hogares;Gasto medio por hogar;2024;40.801,70
07 Castilla y León;Otros hogares;Gasto medio por hogar;2023;34.325,24
07 Castilla y León;Otros hogares;Gasto medio por hogar;2022;37.659,35
07 Castilla y León;Otros hogares;Gasto medio por hogar;2021;33.068,92
07 Castilla y León;Otros hogares;Gasto medio por hogar;2020;30.473,52
07 Castilla y León;Otros hogares;Gasto medio por hogar;2019;33.870,64
07 Castilla y León;Otros hogares;Gasto medio por hogar;2018;33.585,84
07 Castilla y León;Otros hogares;Gasto medio por hogar;2017;33.217,62
07 Castilla y León;Otros hogares;Gasto medio por hogar;2016;32.442,26
08 Castilla - La Mancha;Total;Gasto medio por hogar;2024;29.892,84
08 Castilla - La Mancha;Total;Gasto medio por hogar;2023;29.391,85
08 Castilla - La Mancha;Total;Gasto medio por hogar;2022;27.313,35
08 Castilla - La Mancha;Total;Gasto medio por hogar;2021;24.033,01
08 Castilla - La Mancha;Total;Gasto medio por hogar;2020;23.115,57
08 Castilla - La Mancha;Total;Gasto medio por hogar;2019;26.551,65
08 Castilla - La Mancha;Total;Gasto medio por hogar;2018;25.648,31
08 Castilla - La Mancha;Total;Gasto medio por hogar;2017;24.986,65
08 Castilla - La Mancha;Total;Gasto medio por hogar;2016;25.090,47
08 Castilla - La Mancha;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;22.380,61
08 Castilla - La Mancha;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;20.733,10
08 Castilla - La Mancha;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;20.660,30
08 Castilla - La Mancha;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;18.266,64
08 Castilla - La Mancha;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;17.790,57
08 Castilla - La Mancha;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;19.209,96
08 Castilla - La Mancha;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;17.245,83
08 Castilla - La Mancha;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;16.586,26
08 Castilla - La Mancha;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;17.551,65
08 Castilla - La Mancha;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;24.728,42
08 Castilla - La Mancha;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;25.346,76
08 Castilla - La Mancha;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;22.067,88
08 Castilla - La Mancha;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;20.453,91
08 Castilla - La Mancha;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;20.467,78
08 Castilla - La Mancha;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;21.585,74
08 Castilla - La Mancha;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;22.294,45
08 Castilla - La Mancha;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;20.591,45
08 Castilla - La Mancha;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;20.202,44
08 Castilla - La Mancha;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;34.542,23
08 Castilla - La Mancha;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;33.203,72
08 Castilla - La Mancha;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;32.690,48
08 Castilla - La Mancha;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;28.886,00
08 Castilla - La Mancha;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;26.769,05
08 Castilla - La Mancha;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;29.320,64
08 Castilla - La Mancha;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;28.731,76
08 Castilla - La Mancha;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;28.302,85
08 Castilla - La Mancha;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;29.189,55
08 Castilla - La Mancha;Otros hogares;Gasto medio por hogar;2024;36.967,72
08 Castilla - La Mancha;Otros hogares;Gasto medio por hogar;2023;36.927,87
08 Castilla - La Mancha;Otros hogares;Gasto medio por hogar;2022;33.648,69
08 Castilla - La Mancha;Otros hogares;Gasto medio por hogar;2021;28.429,39
08 Castilla - La Mancha;Otros hogares;Gasto medio por hogar;2020;26.663,97
08 Castilla - La Mancha;Otros hogares;Gasto medio por hogar;2019;33.229,53
08 Castilla - La Mancha;Otros hogares;Gasto medio por hogar;2018;31.813,21
08 Castilla - La Mancha;Otros hogares;Gasto medio por hogar;2017;31.785,50
08 Castilla - La Mancha;Otros hogares;Gasto medio por hogar;2016;31.137,71
09 Cataluña;Total;Gasto medio por hogar;2024;37.409,09
09 Cataluña;Total;Gasto medio por hogar;2023;34.259,05
09 Cataluña;Total;Gasto medio por hogar;2022;33.059,64
09 Cataluña;Total;Gasto medio por hogar;2021;31.778,63
09 Cataluña;Total;Gasto medio por hogar;2020;29.234,76
09 Cataluña;Total;Gasto medio por hogar;2019;32.915,71
09 Cataluña;Total;Gasto medio por hogar;2018;32.585,71
09 Cataluña;Total;Gasto medio por hogar;2017;31.619,45
09 Cataluña;Total;Gasto medio por hogar;2016;30.445,96
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;33.614,40
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;29.879,53
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;28.376,86
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;26.778,53
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;25.043,13
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;27.480,54
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;27.798,55
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;25.835,52
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;25.008,69
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;30.544,85
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;27.316,75
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;26.568,44
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;25.800,98
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;24.141,78
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;28.422,85
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;27.013,87
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;26.178,26
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;25.771,20
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;40.882,81
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;38.373,48
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;36.145,25
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;33.539,87
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;33.635,45
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;38.323,71
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;38.444,95
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;36.827,45
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;35.313,08
09 Cataluña;Otros hogares;Gasto medio por hogar;2024;43.812,04
09 Cataluña;Otros hogares;Gasto medio por hogar;2023;40.719,09
09 Cataluña;Otros hogares;Gasto medio por hogar;2022;39.550,16
09 Cataluña;Otros hogares;Gasto medio por hogar;2021;38.801,48
09 Cataluña;Otros hogares;Gasto medio por hogar;2020;34.263,29
09 Cataluña;Otros hogares;Gasto medio por hogar;2019;37.441,57
09 Cataluña;Otros hogares;Gasto medio por hogar;2018;37.467,63
09 Cataluña;Otros hogares;Gasto medio por hogar;2017;37.532,07
09 Cataluña;Otros hogares;Gasto medio por hogar;2016;35.706,17
10 Comunitat Valenciana;Total;Gasto medio por hogar;2024;32.684,69
10 Comunitat Valenciana;Total;Gasto medio por hogar;2023;31.765,85
10 Comunitat Valenciana;Total;Gasto medio por hogar;2022;29.920,42
10 Comunitat Valenciana;Total;Gasto medio por hogar;2021;27.933,39
10 Comunitat Valenciana;Total;Gasto medio por hogar;2020;25.915,10
10 Comunitat Valenciana;Total;Gasto medio por hogar;2019;29.444,27
10 Comunitat Valenciana;Total;Gasto medio por hogar;2018;28.356,34
10 Comunitat Valenciana;Total;Gasto medio por hogar;2017;27.227,17
10 Comunitat Valenciana;Total;Gasto medio por hogar;2016;26.094,00
10 Comunitat Valenciana;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;26.453,34
10 Comunitat Valenciana;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;24.781,65
10 Comunitat Valenciana;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;24.749,71
10 Comunitat Valenciana;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;22.005,14
10 Comunitat Valenciana;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;20.947,08
10 Comunitat Valenciana;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;23.165,85
10 Comunitat Valenciana;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;21.902,42
10 Comunitat Valenciana;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;21.881,54
10 Comunitat Valenciana;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;21.406,73
10 Comunitat Valenciana;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;27.228,09
10 Comunitat Valenciana;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;26.839,95
10 Comunitat Valenciana;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;22.979,77
10 Comunitat Valenciana;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;23.113,25
10 Comunitat Valenciana;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;21.778,12
10 Comunitat Valenciana;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;25.058,76
10 Comunitat Valenciana;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;24.318,02
10 Comunitat Valenciana;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;22.647,28
10 Comunitat Valenciana;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;21.368,82
10 Comunitat Valenciana;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;37.208,90
10 Comunitat Valenciana;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;34.074,29
10 Comunitat Valenciana;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;34.728,72
10 Comunitat Valenciana;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;33.613,21
10 Comunitat Valenciana;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;29.869,31
10 Comunitat Valenciana;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;33.661,44
10 Comunitat Valenciana;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;32.756,05
10 Comunitat Valenciana;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;31.682,97
10 Comunitat Valenciana;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;30.627,28
10 Comunitat Valenciana;Otros hogares;Gasto medio por hogar;2024;39.160,47
10 Comunitat Valenciana;Otros hogares;Gasto medio por hogar;2023;39.696,18
10 Comunitat Valenciana;Otros hogares;Gasto medio por hogar;2022;36.920,68
10 Comunitat Valenciana;Otros hogares;Gasto medio por hogar;2021;33.094,39
10 Comunitat Valenciana;Otros hogares;Gasto medio por hogar;2020;30.687,42
10 Comunitat Valenciana;Otros hogares;Gasto medio por hogar;2019;35.301,14
10 Comunitat Valenciana;Otros hogares;Gasto medio por hogar;2018;33.996,86
10 Comunitat Valenciana;Otros hogares;Gasto medio por hogar;2017;32.151,01
10 Comunitat Valenciana;Otros hogares;Gasto medio por hogar;2016;30.760,67
11 Extremadura;Total;Gasto medio por hogar;2024;26.889,65
11 Extremadura;Total;Gasto medio por hogar;2023;26.253,76
11 Extremadura;Total;Gasto medio por hogar;2022;26.225,80
11 Extremadura;Total;Gasto medio por hogar;2021;24.244,00
11 Extremadura;Total;Gasto medio por hogar;2020;22.771,16
11 Extremadura;Total;Gasto medio por hogar;2019;23.181,92
11 Extremadura;Total;Gasto medio por hogar;2018;23.429,06
11 Extremadura;Total;Gasto medio por hogar;2017;22.887,31
11 Extremadura;Total;Gasto medio por hogar;2016;23.003,70
11 Extremadura;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;20.506,42
11 Extremadura;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;19.857,07
11 Extremadura;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;18.569,48
11 Extremadura;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;17.842,26
11 Extremadura;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;16.386,09
11 Extremadura;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;17.544,75
11 Extremadura;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;17.227,14
11 Extremadura;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;16.576,65
11 Extremadura;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;18.169,74
11 Extremadura;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;22.522,59
11 Extremadura;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;22.206,49
11 Extremadura;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;22.865,81
11 Extremadura;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;19.829,01
11 Extremadura;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;21.222,44
11 Extremadura;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;20.135,26
11 Extremadura;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;19.767,90
11 Extremadura;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;18.620,03
11 Extremadura;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;19.207,87
11 Extremadura;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;31.862,69
11 Extremadura;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;31.549,73
11 Extremadura;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;31.330,20
11 Extremadura;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;27.834,24
11 Extremadura;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;26.806,68
11 Extremadura;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;27.257,35
11 Extremadura;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;28.092,33
11 Extremadura;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;27.366,16
11 Extremadura;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;27.246,69
11 Extremadura;Otros hogares;Gasto medio por hogar;2024;33.337,48
11 Extremadura;Otros hogares;Gasto medio por hogar;2023;32.904,35
11 Extremadura;Otros hogares;Gasto medio por hogar;2022;32.540,53
11 Extremadura;Otros hogares;Gasto medio por hogar;2021;30.631,76
11 Extremadura;Otros hogares;Gasto medio por hogar;2020;26.538,29
11 Extremadura;Otros hogares;Gasto medio por hogar;2019;27.691,03
11 Extremadura;Otros hogares;Gasto medio por hogar;2018;28.242,43
11 Extremadura;Otros hogares;Gasto medio por hogar;2017;27.513,25
11 Extremadura;Otros hogares;Gasto medio por hogar;2016;26.882,31
12 Galicia;Total;Gasto medio por hogar;2024;33.700,40
12 Galicia;Total;Gasto medio por hogar;2023;32.558,35
12 Galicia;Total;Gasto medio por hogar;2022;31.120,20
12 Galicia;Total;Gasto medio por hogar;2021;28.299,86
12 Galicia;Total;Gasto medio por hogar;2020;24.975,71
12 Galicia;Total;Gasto medio por hogar;2019;26.846,48
12 Galicia;Total;Gasto medio por hogar;2018;27.256,92
12 Galicia;Total;Gasto medio por hogar;2017;26.962,72
12 Galicia;Total;Gasto medio por hogar;2016;26.291,11
12 Galicia;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;25.725,43
12 Galicia;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;26.033,60
12 Galicia;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;23.237,36
12 Galicia;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;21.553,43
12 Galicia;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;19.644,71
12 Galicia;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;20.879,77
12 Galicia;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;19.852,82
12 Galicia;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;20.238,45
12 Galicia;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;19.839,63
12 Galicia;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;26.863,36
12 Galicia;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;25.669,58
12 Galicia;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;25.279,74
12 Galicia;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;24.113,37
12 Galicia;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;20.613,05
12 Galicia;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;22.146,21
12 Galicia;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;22.206,31
12 Galicia;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;22.721,80
12 Galicia;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;20.997,45
12 Galicia;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;43.182,38
12 Galicia;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;40.280,16
12 Galicia;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;37.224,29
12 Galicia;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;33.349,98
12 Galicia;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;30.179,75
12 Galicia;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;30.993,23
12 Galicia;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;31.231,42
12 Galicia;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;30.845,63
12 Galicia;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;29.948,27
12 Galicia;Otros hogares;Gasto medio por hogar;2024;41.560,77
12 Galicia;Otros hogares;Gasto medio por hogar;2023;39.469,76
12 Galicia;Otros hogares;Gasto medio por hogar;2022;38.742,19
12 Galicia;Otros hogares;Gasto medio por hogar;2021;34.040,67
12 Galicia;Otros hogares;Gasto medio por hogar;2020;29.687,31
12 Galicia;Otros hogares;Gasto medio por hogar;2019;32.403,30
12 Galicia;Otros hogares;Gasto medio por hogar;2018;33.940,80
12 Galicia;Otros hogares;Gasto medio por hogar;2017;32.283,09
12 Galicia;Otros hogares;Gasto medio por hogar;2016;32.304,09
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2024;39.317,62
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2023;37.360,47
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2022;35.984,94
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2021;34.645,29
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2020;32.502,41
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2019;35.798,09
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2018;34.793,11
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2017;34.016,49
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2016;32.682,55
13 Madrid, Comunidad de;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;32.399,06
13 Madrid, Comunidad de;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;31.830,61
13 Madrid, Comunidad de;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;30.121,90
13 Madrid, Comunidad de;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;28.782,16
13 Madrid, Comunidad de;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;26.859,41
13 Madrid, Comunidad de;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;29.297,60
13 Madrid, Comunidad de;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;27.769,03
13 Madrid, Comunidad de;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;28.675,78
13 Madrid, Comunidad de;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;27.531,55
13 Madrid, Comunidad de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;32.633,27
13 Madrid, Comunidad de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;30.629,83
13 Madrid, Comunidad de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;30.210,39
13 Madrid, Comunidad de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;27.098,31
13 Madrid, Comunidad de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;26.129,81
13 Madrid, Comunidad de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;30.514,27
13 Madrid, Comunidad de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;28.809,13
13 Madrid, Comunidad de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;27.905,88
13 Madrid, Comunidad de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;26.342,27
13 Madrid, Comunidad de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;47.540,91
13 Madrid, Comunidad de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;43.704,28
13 Madrid, Comunidad de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;41.967,32
13 Madrid, Comunidad de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;40.331,38
