Comunidad autónoma de residencia;Tipo de hogar (reducida);Gastos medios, distribución e índice;Periodo;Total
01 Andalucía;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;21.510,26
01 Andalucía;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;19.674,17
01 Andalucía;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;23.334,02
01 Andalucía;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;25.190,74
01 Andalucía;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;22.982,13
01 Andalucía;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;21.384,59
01 Andalucía;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;36.911,77
01 Andalucía;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;33.214,62
01 Andalucía;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;33.670,56
01 Andalucía;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;29.497,84
01 Andalucía;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;27.594,93
01 Andalucía;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;31.803,47
01 Andalucía;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;31.129,84
01 Andalucía;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;30.898,60
01 Andalucía;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;28.456,16
01 Andalucía;Otros hogares;Gasto medio por hogar;2024;35.815,19
01 Andalucía;Otros hogares;Gasto medio por hogar;2023;35.755,68
01 Andalucía;Otros hogares;Gasto medio por hogar;2022;34.649,11
01 Andalucía;Otros hogares;Gasto medio por hogar;2021;32.413,23
01 Andalucía;Otros hogares;Gasto medio por hogar;2020;28.637,73
01 Andalucía;Otros hogares;Gasto medio por hogar;2019;31.507,08
01 Andalucía;Otros hogares;Gasto medio por hogar;2018;31.760,62
01 Andalucía;Otros hogares;Gasto medio por hogar;2017;32.204,57
01 Andalucía;Otros hogares;Gasto medio por hogar;2016;30.543,36
02 Aragón;Total;Gasto medio por hogar;2024;33.642,49
02 Aragón;Total;Gasto medio por hogar;2023;32.980,44
02 Aragón;Total;Gasto medio por hogar;2022;31.162,86
02 Aragón;Total;Gasto medio por hogar;2021;28.493,37
02 Aragón;Total;Gasto medio por hogar;2020;27.695,68
02 Aragón;Total;Gasto medio por hogar;2019;30.716,04
02 Aragón;Total;Gasto medio por hogar;2018;28.728,85
02 Aragón;Total;Gasto medio por hogar;2017;28.055,46
02 Aragón;Total;Gasto medio por hogar;2016;27.880,66
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;29.597,02
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;30.733,34
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;25.208,19
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;24.515,51
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;24.163,11
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;26.341,44
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;23.187,02
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;21.529,44
02 Aragón;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;21.449,01
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;25.232,78
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;26.446,03
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;24.495,44
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;22.992,05
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;21.794,06
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;25.250,42
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;24.375,19
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;23.846,91
02 Aragón;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;23.422,97
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;38.750,67
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;38.627,25
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;36.866,02
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;30.506,40
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;31.223,03
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;36.250,63
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;33.466,39
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;31.831,00
02 Aragón;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;30.852,44
02 Aragón;Otros hogares;Gasto medio por hogar;2024;41.556,90
02 Aragón;Otros hogares;Gasto medio por hogar;2023;38.006,23
02 Aragón;Otros hogares;Gasto medio por hogar;2022;38.956,40
02 Aragón;Otros hogares;Gasto medio por hogar;2021;35.221,11
02 Aragón;Otros hogares;Gasto medio por hogar;2020;33.723,72
