Comunidad autónoma de residencia;Tipo de dato;Gastos medios y distribución porcentual;Grupos de gasto (2 dígitos);Periodo;Total
Total Nacional;Dato base;Gasto medio por hogar;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2017;1.307,50
Total Nacional;Dato base;Gasto medio por hogar;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2016;1.255,84
Total Nacional;Dato base;Gasto medio por hogar;06 Sanidad;2024;1.377,34
Total Nacional;Dato base;Gasto medio por hogar;06 Sanidad;2023;1.244,98
Total Nacional;Dato base;Gasto medio por hogar;06 Sanidad;2022;1.224,37
Total Nacional;Dato base;Gasto medio por hogar;06 Sanidad;2021;1.200,50
Total Nacional;Dato base;Gasto medio por hogar;06 Sanidad;2020;1.002,88
Total Nacional;Dato base;Gasto medio por hogar;06 Sanidad;2019;1.049,80
Total Nacional;Dato base;Gasto medio por hogar;06 Sanidad;2018;1.011,83
Total Nacional;Dato base;Gasto medio por hogar;06 Sanidad;2017;982,47
Total Nacional;Dato base;Gasto medio por hogar;06 Sanidad;2016;968,66
Total Nacional;Dato base;Gasto medio por hogar;07 Transporte;2024;3.876,63
Total Nacional;Dato base;Gasto medio por hogar;07 Transporte;2023;3.782,82
Total Nacional;Dato base;Gasto medio por hogar;07 Transporte;2022;3.780,24
Total Nacional;Dato base;Gasto medio por hogar;07 Transporte;2021;3.214,99
Total Nacional;Dato base;Gasto medio por hogar;07 Transporte;2020;2.746,07
Total Nacional;Dato base;Gasto medio por hogar;07 Transporte;2019;3.890,05
Total Nacional;Dato base;Gasto medio por hogar;07 Transporte;2018;3.796,41
Total Nacional;Dato base;Gasto medio por hogar;07 Transporte;2017;3.672,44
Total Nacional;Dato base;Gasto medio por hogar;07 Transporte;2016;3.267,90
Total Nacional;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2024;1.101,06
Total Nacional;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2023;1.050,76
Total Nacional;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2022;1.090,81
Total Nacional;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2021;1.113,39
Total Nacional;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2020;1.107,91
Total Nacional;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2019;1.090,14
Total Nacional;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2018;1.111,00
Total Nacional;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2017;1.084,09
Total Nacional;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2016;1.041,30
Total Nacional;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2024;1.691,73
Total Nacional;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2023;1.495,31
Total Nacional;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2022;1.345,20
Total Nacional;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2021;1.109,12
Total Nacional;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2020;957,04
Total Nacional;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2019;1.511,69
Total Nacional;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2018;1.494,30
Total Nacional;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2017;1.506,90
Total Nacional;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2016;1.434,65
Total Nacional;Dato base;Gasto medio por hogar;10 Servicios de educación;2024;553,46
Total Nacional;Dato base;Gasto medio por hogar;10 Servicios de educación;2023;485,80
Total Nacional;Dato base;Gasto medio por hogar;10 Servicios de educación;2022;454,45
Total Nacional;Dato base;Gasto medio por hogar;10 Servicios de educación;2021;432,39
Total Nacional;Dato base;Gasto medio por hogar;10 Servicios de educación;2020;437,28
Total Nacional;Dato base;Gasto medio por hogar;10 Servicios de educación;2019;480,59
Total Nacional;Dato base;Gasto medio por hogar;10 Servicios de educación;2018;460,66
Total Nacional;Dato base;Gasto medio por hogar;10 Servicios de educación;2017;414,22
Total Nacional;Dato base;Gasto medio por hogar;10 Servicios de educación;2016;399,05
Total Nacional;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2024;3.373,68
Total Nacional;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2023;3.308,32
Total Nacional;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2022;2.921,70
Total Nacional;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2021;2.267,49
Total Nacional;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2020;1.750,58
Total Nacional;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2019;2.942,53
Total Nacional;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2018;2.945,78
Total Nacional;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2017;3.001,07
Total Nacional;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2016;2.779,08
Total Nacional;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2024;1.269,58
Total Nacional;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2023;1.162,58
Total Nacional;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2022;1.139,63
Total Nacional;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2021;1.111,40
Total Nacional;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2020;1.076,12
Total Nacional;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2019;1.068,27
Total Nacional;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2018;1.053,61
Total Nacional;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2017;1.028,61
Total Nacional;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2016;1.023,34
Total Nacional;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2024;1.228,29
Total Nacional;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2023;1.240,03
Total Nacional;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2022;1.199,81
Total Nacional;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2021;1.091,17
Total Nacional;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2020;1.025,42
Total Nacional;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2019;1.213,63
Total Nacional;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2018;1.235,13
Total Nacional;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2017;1.222,68
Total Nacional;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2016;1.181,29
Total Nacional;Dato base;Gasto medio por persona;Índice general;2024;13.625,82
Total Nacional;Dato base;Gasto medio por persona;Índice general;2023;13.120,10
Total Nacional;Dato base;Gasto medio por persona;Índice general;2022;12.580,59
Total Nacional;Dato base;Gasto medio por persona;Índice general;2021;11.585,13
Total Nacional;Dato base;Gasto medio por persona;Índice general;2020;10.848,22
Total Nacional;Dato base;Gasto medio por persona;Índice general;2019;12.151,50
