Comunidad autónoma de residencia;Tipo de dato;Gastos medios y distribución porcentual;Grupos de gasto (2 dígitos);Periodo;Total
02 Aragón;Dato base;Distribución porcentual;01 Alimentos y bebidas no alcohólicas;2019;14,85
02 Aragón;Dato base;Distribución porcentual;01 Alimentos y bebidas no alcohólicas;2018;15,02
02 Aragón;Dato base;Distribución porcentual;01 Alimentos y bebidas no alcohólicas;2017;15,05
02 Aragón;Dato base;Distribución porcentual;01 Alimentos y bebidas no alcohólicas;2016;15,52
02 Aragón;Dato base;Distribución porcentual;02 Bebidas alcohólicas, tabaco y estupefacientes;2024;1,68
02 Aragón;Dato base;Distribución porcentual;02 Bebidas alcohólicas, tabaco y estupefacientes;2023;1,66
02 Aragón;Dato base;Distribución porcentual;02 Bebidas alcohólicas, tabaco y estupefacientes;2022;1,64
02 Aragón;Dato base;Distribución porcentual;02 Bebidas alcohólicas, tabaco y estupefacientes;2021;1,87
02 Aragón;Dato base;Distribución porcentual;02 Bebidas alcohólicas, tabaco y estupefacientes;2020;2,02
02 Aragón;Dato base;Distribución porcentual;02 Bebidas alcohólicas, tabaco y estupefacientes;2019;1,98
02 Aragón;Dato base;Distribución porcentual;02 Bebidas alcohólicas, tabaco y estupefacientes;2018;2,11
02 Aragón;Dato base;Distribución porcentual;02 Bebidas alcohólicas, tabaco y estupefacientes;2017;1,98
02 Aragón;Dato base;Distribución porcentual;02 Bebidas alcohólicas, tabaco y estupefacientes;2016;1,89
02 Aragón;Dato base;Distribución porcentual;03 Vestido y calzado;2024;3,95
02 Aragón;Dato base;Distribución porcentual;03 Vestido y calzado;2023;3,88
02 Aragón;Dato base;Distribución porcentual;03 Vestido y calzado;2022;3,77
02 Aragón;Dato base;Distribución porcentual;03 Vestido y calzado;2021;3,96
02 Aragón;Dato base;Distribución porcentual;03 Vestido y calzado;2020;3,59
02 Aragón;Dato base;Distribución porcentual;03 Vestido y calzado;2019;4,25
02 Aragón;Dato base;Distribución porcentual;03 Vestido y calzado;2018;4,95
02 Aragón;Dato base;Distribución porcentual;03 Vestido y calzado;2017;4,95
02 Aragón;Dato base;Distribución porcentual;03 Vestido y calzado;2016;5,01
02 Aragón;Dato base;Distribución porcentual;04 Vivienda, agua, electricidad, gas y otros combustibles;2024;31,71
02 Aragón;Dato base;Distribución porcentual;04 Vivienda, agua, electricidad, gas y otros combustibles;2023;30,09
02 Aragón;Dato base;Distribución porcentual;04 Vivienda, agua, electricidad, gas y otros combustibles;2022;31,23
02 Aragón;Dato base;Distribución porcentual;04 Vivienda, agua, electricidad, gas y otros combustibles;2021;33,95
02 Aragón;Dato base;Distribución porcentual;04 Vivienda, agua, electricidad, gas y otros combustibles;2020;34,78
02 Aragón;Dato base;Distribución porcentual;04 Vivienda, agua, electricidad, gas y otros combustibles;2019;30,54
02 Aragón;Dato base;Distribución porcentual;04 Vivienda, agua, electricidad, gas y otros combustibles;2018;30,11
02 Aragón;Dato base;Distribución porcentual;04 Vivienda, agua, electricidad, gas y otros combustibles;2017;30,49
02 Aragón;Dato base;Distribución porcentual;04 Vivienda, agua, electricidad, gas y otros combustibles;2016;30,44
02 Aragón;Dato base;Distribución porcentual;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2024;3,70
02 Aragón;Dato base;Distribución porcentual;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2023;4,09
02 Aragón;Dato base;Distribución porcentual;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2022;4,66
02 Aragón;Dato base;Distribución porcentual;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2021;4,53
02 Aragón;Dato base;Distribución porcentual;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2020;4,35
02 Aragón;Dato base;Distribución porcentual;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2019;3,97
02 Aragón;Dato base;Distribución porcentual;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2018;4,48
02 Aragón;Dato base;Distribución porcentual;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2017;4,79
02 Aragón;Dato base;Distribución porcentual;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2016;4,20
02 Aragón;Dato base;Distribución porcentual;06 Sanidad;2024;4,05
02 Aragón;Dato base;Distribución porcentual;06 Sanidad;2023;4,37
02 Aragón;Dato base;Distribución porcentual;06 Sanidad;2022;4,12
02 Aragón;Dato base;Distribución porcentual;06 Sanidad;2021;4,25
02 Aragón;Dato base;Distribución porcentual;06 Sanidad;2020;3,90
02 Aragón;Dato base;Distribución porcentual;06 Sanidad;2019;3,23
02 Aragón;Dato base;Distribución porcentual;06 Sanidad;2018;3,19
02 Aragón;Dato base;Distribución porcentual;06 Sanidad;2017;3,67
02 Aragón;Dato base;Distribución porcentual;06 Sanidad;2016;3,73
02 Aragón;Dato base;Distribución porcentual;07 Transporte;2024;10,37
02 Aragón;Dato base;Distribución porcentual;07 Transporte;2023;11,10
02 Aragón;Dato base;Distribución porcentual;07 Transporte;2022;10,83
02 Aragón;Dato base;Distribución porcentual;07 Transporte;2021;9,07
02 Aragón;Dato base;Distribución porcentual;07 Transporte;2020;8,72
02 Aragón;Dato base;Distribución porcentual;07 Transporte;2019;11,97
02 Aragón;Dato base;Distribución porcentual;07 Transporte;2018;11,19
02 Aragón;Dato base;Distribución porcentual;07 Transporte;2017;10,34
02 Aragón;Dato base;Distribución porcentual;07 Transporte;2016;9,78
02 Aragón;Dato base;Distribución porcentual;08 Información y comunicaciones;2024;3,05
02 Aragón;Dato base;Distribución porcentual;08 Información y comunicaciones;2023;3,14
02 Aragón;Dato base;Distribución porcentual;08 Información y comunicaciones;2022;3,53
02 Aragón;Dato base;Distribución porcentual;08 Información y comunicaciones;2021;3,86
02 Aragón;Dato base;Distribución porcentual;08 Información y comunicaciones;2020;4,24
02 Aragón;Dato base;Distribución porcentual;08 Información y comunicaciones;2019;3,66
02 Aragón;Dato base;Distribución porcentual;08 Información y comunicaciones;2018;3,64
02 Aragón;Dato base;Distribución porcentual;08 Información y comunicaciones;2017;3,76
02 Aragón;Dato base;Distribución porcentual;08 Información y comunicaciones;2016;3,66
02 Aragón;Dato base;Distribución porcentual;09 Actividades recreativas, deporte y cultura;2024;5,32
02 Aragón;Dato base;Distribución porcentual;09 Actividades recreativas, deporte y cultura;2023;5,22
02 Aragón;Dato base;Distribución porcentual;09 Actividades recreativas, deporte y cultura;2022;4,39
02 Aragón;Dato base;Distribución porcentual;09 Actividades recreativas, deporte y cultura;2021;3,78
02 Aragón;Dato base;Distribución porcentual;09 Actividades recreativas, deporte y cultura;2020;4,08
02 Aragón;Dato base;Distribución porcentual;09 Actividades recreativas, deporte y cultura;2019;5,79
02 Aragón;Dato base;Distribución porcentual;09 Actividades recreativas, deporte y cultura;2018;5,50
02 Aragón;Dato base;Distribución porcentual;09 Actividades recreativas, deporte y cultura;2017;5,21
02 Aragón;Dato base;Distribución porcentual;09 Actividades recreativas, deporte y cultura;2016;5,72
02 Aragón;Dato base;Distribución porcentual;10 Servicios de educación;2024;1,42
02 Aragón;Dato base;Distribución porcentual;10 Servicios de educación;2023;1,05
02 Aragón;Dato base;Distribución porcentual;10 Servicios de educación;2022;1,20
02 Aragón;Dato base;Distribución porcentual;10 Servicios de educación;2021;1,48
02 Aragón;Dato base;Distribución porcentual;10 Servicios de educación;2020;1,65
02 Aragón;Dato base;Distribución porcentual;10 Servicios de educación;2019;1,42
02 Aragón;Dato base;Distribución porcentual;10 Servicios de educación;2018;1,36
02 Aragón;Dato base;Distribución porcentual;10 Servicios de educación;2017;1,48
02 Aragón;Dato base;Distribución porcentual;10 Servicios de educación;2016;1,47
02 Aragón;Dato base;Distribución porcentual;11 Restaurantes y servicios de alojamiento;2024;10,96
02 Aragón;Dato base;Distribución porcentual;11 Restaurantes y servicios de alojamiento;2023;10,80
02 Aragón;Dato base;Distribución porcentual;11 Restaurantes y servicios de alojamiento;2022;10,57
02 Aragón;Dato base;Distribución porcentual;11 Restaurantes y servicios de alojamiento;2021;7,82
02 Aragón;Dato base;Distribución porcentual;11 Restaurantes y servicios de alojamiento;2020;7,02
02 Aragón;Dato base;Distribución porcentual;11 Restaurantes y servicios de alojamiento;2019;10,68
02 Aragón;Dato base;Distribución porcentual;11 Restaurantes y servicios de alojamiento;2018;10,57
02 Aragón;Dato base;Distribución porcentual;11 Restaurantes y servicios de alojamiento;2017;10,38
02 Aragón;Dato base;Distribución porcentual;11 Restaurantes y servicios de alojamiento;2016;10,81
02 Aragón;Dato base;Distribución porcentual;12 Seguros y servicios financieros;2024;3,27
02 Aragón;Dato base;Distribución porcentual;12 Seguros y servicios financieros;2023;3,10
02 Aragón;Dato base;Distribución porcentual;12 Seguros y servicios financieros;2022;3,19
02 Aragón;Dato base;Distribución porcentual;12 Seguros y servicios financieros;2021;3,37
02 Aragón;Dato base;Distribución porcentual;12 Seguros y servicios financieros;2020;3,62
02 Aragón;Dato base;Distribución porcentual;12 Seguros y servicios financieros;2019;3,11
02 Aragón;Dato base;Distribución porcentual;12 Seguros y servicios financieros;2018;3,05
02 Aragón;Dato base;Distribución porcentual;12 Seguros y servicios financieros;2017;3,14
02 Aragón;Dato base;Distribución porcentual;12 Seguros y servicios financieros;2016;3,06
02 Aragón;Dato base;Distribución porcentual;13 Cuidado personal, protección social, y bienes y servicios diversos;2024;3,53
02 Aragón;Dato base;Distribución porcentual;13 Cuidado personal, protección social, y bienes y servicios diversos;2023;4,03
02 Aragón;Dato base;Distribución porcentual;13 Cuidado personal, protección social, y bienes y servicios diversos;2022;4,17
02 Aragón;Dato base;Distribución porcentual;13 Cuidado personal, protección social, y bienes y servicios diversos;2021;4,18
02 Aragón;Dato base;Distribución porcentual;13 Cuidado personal, protección social, y bienes y servicios diversos;2020;4,33
02 Aragón;Dato base;Distribución porcentual;13 Cuidado personal, protección social, y bienes y servicios diversos;2019;4,55
02 Aragón;Dato base;Distribución porcentual;13 Cuidado personal, protección social, y bienes y servicios diversos;2018;4,82
02 Aragón;Dato base;Distribución porcentual;13 Cuidado personal, protección social, y bienes y servicios diversos;2017;4,77
02 Aragón;Dato base;Distribución porcentual;13 Cuidado personal, protección social, y bienes y servicios diversos;2016;4,72
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2024;31.391,44
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2023;30.694,45
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2022;29.288,44
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2021;25.935,63
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2020;23.504,49
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2019;27.367,02
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2018;27.185,87
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2017;26.422,45
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2016;26.811,61
03 Asturias, Principado de;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2024;4.982,49
03 Asturias, Principado de;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2023;5.235,27
03 Asturias, Principado de;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2022;5.006,23
03 Asturias, Principado de;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2021;4.595,50
03 Asturias, Principado de;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2020;4.376,42
03 Asturias, Principado de;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2019;4.243,67
03 Asturias, Principado de;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2018;4.060,69
03 Asturias, Principado de;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2017;3.985,12
03 Asturias, Principado de;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2016;3.896,64
03 Asturias, Principado de;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2024;458,17
03 Asturias, Principado de;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2023;470,17
03 Asturias, Principado de;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2022;449,31
03 Asturias, Principado de;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2021;518,47
03 Asturias, Principado de;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2020;490,22
03 Asturias, Principado de;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2019;509,04
03 Asturias, Principado de;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2018;548,83
03 Asturias, Principado de;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2017;512,57
03 Asturias, Principado de;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2016;519,55
03 Asturias, Principado de;Dato base;Gasto medio por hogar;03 Vestido y calzado;2024;1.317,11
03 Asturias, Principado de;Dato base;Gasto medio por hogar;03 Vestido y calzado;2023;1.348,05
03 Asturias, Principado de;Dato base;Gasto medio por hogar;03 Vestido y calzado;2022;1.217,66
03 Asturias, Principado de;Dato base;Gasto medio por hogar;03 Vestido y calzado;2021;1.177,22
03 Asturias, Principado de;Dato base;Gasto medio por hogar;03 Vestido y calzado;2020;850,58
03 Asturias, Principado de;Dato base;Gasto medio por hogar;03 Vestido y calzado;2019;1.371,40
03 Asturias, Principado de;Dato base;Gasto medio por hogar;03 Vestido y calzado;2018;1.367,04
03 Asturias, Principado de;Dato base;Gasto medio por hogar;03 Vestido y calzado;2017;1.333,57
03 Asturias, Principado de;Dato base;Gasto medio por hogar;03 Vestido y calzado;2016;1.515,83
03 Asturias, Principado de;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2024;9.625,13
03 Asturias, Principado de;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2023;9.393,65
03 Asturias, Principado de;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2022;9.211,91
03 Asturias, Principado de;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2021;8.646,71
03 Asturias, Principado de;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2020;8.455,87
03 Asturias, Principado de;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2019;8.461,00
03 Asturias, Principado de;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2018;8.414,82
03 Asturias, Principado de;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2017;8.108,59
03 Asturias, Principado de;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2016;8.429,20
03 Asturias, Principado de;Dato base;Gasto medio por hogar;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2024;1.106,64
03 Asturias, Principado de;Dato base;Gasto medio por hogar;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2023;1.138,02
03 Asturias, Principado de;Dato base;Gasto medio por hogar;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2022;1.173,99
03 Asturias, Principado de;Dato base;Gasto medio por hogar;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2021;1.133,55
03 Asturias, Principado de;Dato base;Gasto medio por hogar;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2020;920,79
03 Asturias, Principado de;Dato base;Gasto medio por hogar;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2019;1.108,66
03 Asturias, Principado de;Dato base;Gasto medio por hogar;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2018;1.203,00
03 Asturias, Principado de;Dato base;Gasto medio por hogar;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2017;1.015,34
03 Asturias, Principado de;Dato base;Gasto medio por hogar;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2016;1.097,98
03 Asturias, Principado de;Dato base;Gasto medio por hogar;06 Sanidad;2024;1.560,54
03 Asturias, Principado de;Dato base;Gasto medio por hogar;06 Sanidad;2023;1.220,61
03 Asturias, Principado de;Dato base;Gasto medio por hogar;06 Sanidad;2022;1.211,68
03 Asturias, Principado de;Dato base;Gasto medio por hogar;06 Sanidad;2021;1.057,45
03 Asturias, Principado de;Dato base;Gasto medio por hogar;06 Sanidad;2020;892,26
03 Asturias, Principado de;Dato base;Gasto medio por hogar;06 Sanidad;2019;948,16
03 Asturias, Principado de;Dato base;Gasto medio por hogar;06 Sanidad;2018;950,10
03 Asturias, Principado de;Dato base;Gasto medio por hogar;06 Sanidad;2017;914,22
03 Asturias, Principado de;Dato base;Gasto medio por hogar;06 Sanidad;2016;1.050,53
03 Asturias, Principado de;Dato base;Gasto medio por hogar;07 Transporte;2024;3.643,13
03 Asturias, Principado de;Dato base;Gasto medio por hogar;07 Transporte;2023;3.703,94
03 Asturias, Principado de;Dato base;Gasto medio por hogar;07 Transporte;2022;3.485,50
03 Asturias, Principado de;Dato base;Gasto medio por hogar;07 Transporte;2021;2.805,41
03 Asturias, Principado de;Dato base;Gasto medio por hogar;07 Transporte;2020;2.133,11
03 Asturias, Principado de;Dato base;Gasto medio por hogar;07 Transporte;2019;3.339,41
03 Asturias, Principado de;Dato base;Gasto medio por hogar;07 Transporte;2018;3.104,43
03 Asturias, Principado de;Dato base;Gasto medio por hogar;07 Transporte;2017;3.035,74
03 Asturias, Principado de;Dato base;Gasto medio por hogar;07 Transporte;2016;2.877,30
03 Asturias, Principado de;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2024;1.049,45
03 Asturias, Principado de;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2023;974,28
03 Asturias, Principado de;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2022;1.016,65
03 Asturias, Principado de;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2021;1.044,09
03 Asturias, Principado de;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2020;1.045,30
03 Asturias, Principado de;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2019;1.026,64
03 Asturias, Principado de;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2018;1.105,17
03 Asturias, Principado de;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2017;1.054,16
03 Asturias, Principado de;Dato base;Gasto medio por hogar;08 Información y comunicaciones;2016;1.058,58
03 Asturias, Principado de;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2024;1.585,79
03 Asturias, Principado de;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2023;1.337,69
03 Asturias, Principado de;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2022;1.205,92
03 Asturias, Principado de;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2021;859,31
03 Asturias, Principado de;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2020;774,24
03 Asturias, Principado de;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2019;1.265,53
03 Asturias, Principado de;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2018;1.386,73
03 Asturias, Principado de;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2017;1.525,97
03 Asturias, Principado de;Dato base;Gasto medio por hogar;09 Actividades recreativas, deporte y cultura;2016;1.533,09
03 Asturias, Principado de;Dato base;Gasto medio por hogar;10 Servicios de educación;2024;377,19
03 Asturias, Principado de;Dato base;Gasto medio por hogar;10 Servicios de educación;2023;257,81
03 Asturias, Principado de;Dato base;Gasto medio por hogar;10 Servicios de educación;2022;279,80
03 Asturias, Principado de;Dato base;Gasto medio por hogar;10 Servicios de educación;2021;237,92
03 Asturias, Principado de;Dato base;Gasto medio por hogar;10 Servicios de educación;2020;244,16
03 Asturias, Principado de;Dato base;Gasto medio por hogar;10 Servicios de educación;2019;299,24
03 Asturias, Principado de;Dato base;Gasto medio por hogar;10 Servicios de educación;2018;262,43
03 Asturias, Principado de;Dato base;Gasto medio por hogar;10 Servicios de educación;2017;220,43
03 Asturias, Principado de;Dato base;Gasto medio por hogar;10 Servicios de educación;2016;233,11
03 Asturias, Principado de;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2024;3.242,03
03 Asturias, Principado de;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2023;3.209,10
03 Asturias, Principado de;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2022;2.817,27
03 Asturias, Principado de;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2021;1.803,64
03 Asturias, Principado de;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2020;1.383,32
03 Asturias, Principado de;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2019;2.738,69
03 Asturias, Principado de;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2018;2.720,86
03 Asturias, Principado de;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2017;2.701,05
03 Asturias, Principado de;Dato base;Gasto medio por hogar;11 Restaurantes y servicios de alojamiento;2016;2.543,53
03 Asturias, Principado de;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2024;1.238,78
03 Asturias, Principado de;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2023;1.013,34
03 Asturias, Principado de;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2022;997,62
03 Asturias, Principado de;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2021;973,90
03 Asturias, Principado de;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2020;940,77
03 Asturias, Principado de;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2019;947,25
03 Asturias, Principado de;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2018;935,41
03 Asturias, Principado de;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2017;911,91
03 Asturias, Principado de;Dato base;Gasto medio por hogar;12 Seguros y servicios financieros;2016;916,17
03 Asturias, Principado de;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2024;1.204,99
03 Asturias, Principado de;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2023;1.392,52
03 Asturias, Principado de;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2022;1.214,90
03 Asturias, Principado de;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2021;1.082,46
03 Asturias, Principado de;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2020;997,43
03 Asturias, Principado de;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2019;1.108,32
03 Asturias, Principado de;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2018;1.126,36
03 Asturias, Principado de;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2017;1.103,78
03 Asturias, Principado de;Dato base;Gasto medio por hogar;13 Cuidado personal, protección social, y bienes y servicios diversos;2016;1.140,10
03 Asturias, Principado de;Dato base;Gasto medio por persona;Índice general;2024;14.220,53
03 Asturias, Principado de;Dato base;Gasto medio por persona;Índice general;2023;13.909,06
03 Asturias, Principado de;Dato base;Gasto medio por persona;Índice general;2022;13.191,62
03 Asturias, Principado de;Dato base;Gasto medio por persona;Índice general;2021;11.597,21
03 Asturias, Principado de;Dato base;Gasto medio por persona;Índice general;2020;10.635,33
03 Asturias, Principado de;Dato base;Gasto medio por persona;Índice general;2019;12.317,84
03 Asturias, Principado de;Dato base;Gasto medio por persona;Índice general;2018;12.164,85
03 Asturias, Principado de;Dato base;Gasto medio por persona;Índice general;2017;11.784,65
03 Asturias, Principado de;Dato base;Gasto medio por persona;Índice general;2016;11.923,88
03 Asturias, Principado de;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2024;2.257,10
03 Asturias, Principado de;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2023;2.372,34
03 Asturias, Principado de;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2022;2.254,82
03 Asturias, Principado de;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2021;2.054,89
03 Asturias, Principado de;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2020;1.980,25
03 Asturias, Principado de;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2019;1.910,07
03 Asturias, Principado de;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2018;1.817,04
03 Asturias, Principado de;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2017;1.777,40
03 Asturias, Principado de;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2016;1.732,95
03 Asturias, Principado de;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2024;207,55
03 Asturias, Principado de;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2023;213,06
03 Asturias, Principado de;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2022;202,37
03 Asturias, Principado de;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2021;231,83
03 Asturias, Principado de;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2020;221,82
03 Asturias, Principado de;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2019;229,12
03 Asturias, Principado de;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2018;245,58
03 Asturias, Principado de;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2017;228,61
03 Asturias, Principado de;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2016;231,06
03 Asturias, Principado de;Dato base;Gasto medio por persona;03 Vestido y calzado;2024;596,66
03 Asturias, Principado de;Dato base;Gasto medio por persona;03 Vestido y calzado;2023;610,86
03 Asturias, Principado de;Dato base;Gasto medio por persona;03 Vestido y calzado;2022;548,44
03 Asturias, Principado de;Dato base;Gasto medio por persona;03 Vestido y calzado;2021;526,40
03 Asturias, Principado de;Dato base;Gasto medio por persona;03 Vestido y calzado;2020;384,87
03 Asturias, Principado de;Dato base;Gasto medio por persona;03 Vestido y calzado;2019;617,26
03 Asturias, Principado de;Dato base;Gasto medio por persona;03 Vestido y calzado;2018;611,71
03 Asturias, Principado de;Dato base;Gasto medio por persona;03 Vestido y calzado;2017;594,78
03 Asturias, Principado de;Dato base;Gasto medio por persona;03 Vestido y calzado;2016;674,13
03 Asturias, Principado de;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2024;4.360,25
03 Asturias, Principado de;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2023;4.256,69
03 Asturias, Principado de;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2022;4.149,08
03 Asturias, Principado de;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2021;3.866,41
